Source,Target,Frequency per week,,Distance (Km)
Bhubaneshwar,Chennai,14,,1016.579178
Calicut,Chennai,15,,494.0567476
Cochin,Chennai,78,,508.0102856
Coimbatore,Chennai,107,,394.6193051
Cuddapah,Chennai,7,,230.2318382
Delhi,Chennai,170,,1769.138468
Goa,Chennai,27,,731.9046225
Guwahati,Chennai,26,,1894.322571
Hubli,Chennai,7,,607.8219952
Hyderabad,Chennai,131,,535.7312106
Indore,Chennai,8,,1183.569868
Jaipur,Chennai,14,,1611.369035
Kannur,Chennai,14,,508.8608738
Kolkata,Chennai,102,,1396.180409
Lucknow,Chennai,8,,1542.568009
Madurai,Chennai,99,,406.9326265
Mangalore,Chennai,14,,567.033348
Mumbai,Chennai,157,,1035.826755
Mysore,Chennai,14,,382.6175903
Nagpur,Chennai,7,,916.9532434
Patna,Chennai,8,,1503.149697
Port Blair,Chennai,69,,1376.957646
Pune,Chennai,49,,915.5848158
Raipur,Chennai,7,,935.8046342
Rajahmundry,Chennai,7,,501.5772783
Salem,Chennai,7,,1257.474973
Shirdi,Chennai,14,,970.7750634
Surat,Chennai,7,,1202.977567
Trichy,Chennai,61,,283.8024943
Trivandrum,Chennai,43,,603.5705391
Tuticorin,Chennai,35,,518.3867403
Varanasi,Chennai,18,,1424.090044
Vijaywada,Chennai,17,,409.344922
Visakhapatnam,Chennai,27,,630.8665308
Bangalore,Coimbatore,39,,224.0550786
Chennai,Coimbatore,100,,394.6193051
Delhi,Coimbatore,35,,1950.035422
Hyderabad,Coimbatore,42,,730.5114732
Mangalore,Coimbatore,2,,317.703243
Mumbai,Coimbatore,40,,1001.79337
Pune,Coimbatore,7,,904.2601652
Bangalore,Madurai,26,,349.4556774
Chennai,Madurai,91,,406.9326265
Delhi,Madurai,7,,2085.464487
Hyderabad,Madurai,21,,848.0499163
Mumbai,Madurai,7,,1172.389606
Bangalore,Trichy,7,,268.3927196
Chennai,Trichy,49,,283.8024943
Hyderabad,Trichy,7,,744.4806679
Bangalore,Tuticorin,7,,471.5326661
Chennai,Tuticorin,35,,518.3867403
Chennai,Salem,7,,1257.474973
Ahmedabad,Dehradun,14,,963.6418914
Bangalore,Dehradun,12,,1917.723398
Delhi,Dehradun,59,,208.4654851
Hyderabad,Dehradun,7,,1416.59076
Jaipur,Dehradun,7,,439.995052
Lucknow,Dehradun,6,,464.1645921
Mumbai,Dehradun,24,,1345.518182
Pithoragarh,Dehradun,14,,208.9148118
Varanasi,Dehradun,3,,699.3177222
Dehradun,Pantnagar,4,,179.4402239
Pantnagar,Pantnagar,4,,0
Dehradun,Pithoragarh,14,,208.9148118
Hindon,Pithoragarh,7,,296.3614653
Adampur,Delhi,7,,344.0552586
Ahmedabad,Delhi,74,,756.5583882
Allahabad,Delhi,21,,575.5729789
Amritsar,Delhi,39,,413.8690545
Andal,Delhi,7,,1151.527911
Aurangabad,Delhi,14,,983.1170718
