Source_lat,Source_lon,Target_lat,Target_lon,Frequency per week
20.713,70.921,19.089,72.868,7
15.381,73.831,19.089,72.868,137
26.74,83.45,19.089,72.868,7
26.106,91.586,19.089,72.868,28
15.362,75.085,19.089,72.868,5
17.453,78.468,19.089,72.868,157
22.7281,75.8042,19.089,72.868,38
23.113,70.1,19.089,72.868,7
23.178,80.052,19.089,72.868,7
26.824,75.812,19.089,72.868,56
26.889,70.865,19.089,72.868,7
20.9614,75.6192,19.089,72.868,5
22.466,70.013,19.089,72.868,7
26.251,73.049,19.089,72.868,28
11.9171,75.547,19.089,72.868,7
26.441,80.365,19.089,72.868,28
16.665,74.289,19.089,72.868,5
22.655,88.447,19.089,72.868,178
26.761,80.889,19.089,72.868,49
9.835,78.093,19.089,72.868,7
12.961,74.89,19.089,72.868,28
21.0901,79.0548,19.089,72.868,58
19.1833,77.3347,19.089,72.868,7
25.591,85.088,19.089,72.868,70
21.649,69.657,19.089,72.868,7
11.641,92.73,19.089,72.868,7
21.18,81.739,19.089,72.868,14
22.309,70.78,19.089,72.868,18
23.3173,85.3251,19.089,72.868,29
19.6924,74.3941,19.089,72.868,7
33.987,74.774,19.089,72.868,107
21.114,72.742,19.089,72.868,7
8.4834,76.9198,19.089,72.868,30
24.618,73.896,19.089,72.868,35
22.336,73.226,19.089,72.868,21
25.452,82.859,19.089,72.868,43
17.7285,83.2236,19.089,72.868,12
23.077,72.635,21.0901,79.0548,7
31.71,74.797,21.0901,79.0548,2
12.95,77.668,21.0901,79.0548,28
23.287,77.337,21.0901,79.0548,7
30.673,76.789,21.0901,79.0548,2
12.907,80.122,21.0901,79.0548,7
21.18,81.739,21.0901,79.0548,3
